,Landfall,Days,MaxWind,MinWind,AWind
1790,0.0,5.0,45.0,30.0,35.0
1791,0.0,18.0,55.0,25.0,43.214285714285715
1792,0.0,27.0,45.0,20.0,32.38095238095238
1793,0.0,16.0,55.0,35.0,45.19230769230769
1794,0.0,207.0,55.0,30.0,43.4375
1795,1.0,21.0,85.0,20.0,45.744680851063826
1796,0.0,10.0,30.0,20.0,25.88235294117647
1797,1.0,25.0,70.0,25.0,41.808510638297875
1798,0.0,9.0,75.0,30.0,56.53846153846154
1799,1.0,9.0,45.0,15.0,33.07692307692308
1800,0.0,30.0,105.0,25.0,54.255319148936174
1801,1.0,1.0,70.0,35.0,53.214285714285715
1802,1.0,10.0,125.0,25.0,82.3076923076923
1803,1.0,197.0,35.0,15.0,25.0
1804,1.0,41.0,50.0,25.0,35.535714285714285
1805,1.0,26.0,50.0,15.0,27.045454545454547
1806,0.0,36.0,45.0,25.0,34.0
1807,0.0,7.0,110.0,25.0,54.193548387096776
1808,0.0,6.0,45.0,35.0,40.9375
1809,0.0,6.0,75.0,25.0,42.58064516129032
1810,0.0,3.0,50.0,25.0,36.470588235294116
1811,0.0,7.0,45.0,20.0,36.92307692307692
1812,0.0,0.0,30.0,20.0,24.473684210526315
1813,0.0,11.0,45.0,20.0,31.764705882352942
1814,1.0,43.0,135.0,15.0,59.14473684210526
